"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Brunei Darussalam","BRN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","99.9000090900827","","",
"Bhutan","BTN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7364260885696","83.9412113666338","85.0307652514122","86.0974220089552","87.1406290040046","88.1541935412654","89.0987061921143","90.0251129780093","90.9332466110286","91.8226996330491","92.6935368053338","93.5456264326703","94.3780959436813","95.1911810922059","95.9852234633137","96.8125041768712","97.2076254256019","97.2333833352482","","",
"Botswana","BWA","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.19896544395","75.5435165382575","75.7501117322516","75.9352040611595","76.1186130617124","76.2991483014609","77.4011947175495","78.8860480218356","80.3235211460421","81.7101171798398","83.0481690173011","84.3369740524077","85.42283400802","86.4555879470408","87.46341808018","88.4462846387066","89.4044400846727","90.3377133593968","","",
"Central African Republic","CAF","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2614654556241","57.2507619471875","56.2339661151736","55.2107259730657","54.1810560046049","53.1522999784995","52.1241164237875","51.096515451999","50.0688290641296","49.0407519136829","48.0123183519194","46.9829120084133","45.9525792925308","46.037802071662","46.1295343187738","46.2280819501011","46.3337584314195","","","",
"Canada","CAN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1118277296021","99.1157304406085","99.1166465773766","99.1175775683564","99.1184936508529","99.1431270900814","99.1678590087047","99.1934964855582","99.2189846698446","99.2443163578905","99.2694989325235","99.2943621628452","99.3180832344734","99.3417647933257","99.3654086770021","99.3890338401103","99.4126238059534","99.4362440848302","","",
"Central Europe and the Baltics","CEB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4326282822766","98.4487766828201","98.4615074714232","98.47312401065","98.5017556408701","98.659905298657","98.8177200114584","98.9756809668352","99.1223613439345","99.2759959182447","99.4121244551657","99.5492422053109","99.6899717147213","","",
"Switzerland","CHE","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.000001703168","100","100","99.9999966518897","100","99.9999983526959","99.9999983683509","99.9999967707795","100.000001596502","99.9999984222855","100.000003117231","100","100","100","100","99.9999970655359","100","100.000002880374","","",
"Channel Islands","CHI","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.15","94.15","94.15","94.15","94.15","94.15","94.15","94.15","94.15","","",
"Chile","CHL","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6806103455902","96.0105824436246","96.3216285941219","96.5885255128352","96.8538139590606","97.1169371157724","97.3784525474401","97.6380254354685","97.895960613309","98.1519881667895","98.4061580886492","98.6586752589017","98.9093575460466","99.1583042882488","99.400068259347","99.6008875957521","99.6221801777163","99.8327911983629","","",
"China","CHN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3925790689602","80.7311707097878","81.7031690764552","82.6515295876127","83.5752517384955","84.4722130292921","85.3326405184308","86.1612742698898","86.9635983583731","87.7378356521145","88.4847679950715","89.1926903219485","89.8685034515473","90.5171123161207","91.1393447914233","91.7349177836592","92.3040465732073","92.8461355129662","","",
"Cote d'Ivoire","CIV","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.7607819174006","70.9060918718901","71.0490698344186","71.1893517230153","71.3272877993701","71.461850629099","71.5937207973683","71.7228984528087","71.8493793661589","71.9725137111897","72.0929615752153","72.2107151419801","72.3254612415282","72.4372057541819","72.5459564381281","72.654463389221","72.7620467387605","72.8689464400465","","",
"Cameroon","CMR","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1772143891301","59.355270030216","59.5176057418885","59.6639018448035","59.7947483747162","59.9089716946951","60.0076125356772","60.0908265759924","60.1587635887171","60.2111602056963","60.2485959730396","60.2708151465181","60.27798667292","60.2698802793554","60.2466800391368","60.2085656352586","60.155720367573","60.3848639473574","","",
"Congo, Dem. Rep.","COD","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.917766753862","34.4663360294378","35.0162341860374","35.5673594374579","36.1196149209615","36.6749293267759","37.2341632719723","37.7971518175401","38.3627348371597","38.9317440053233","39.5030316249384","40.0774092316493","40.6537405883332","41.2318608933508","41.8120913442475","42.3937820672744","42.9767673864606","43.2433220399021","","",
